Cost information,IDB study,Journal Rank,assigned_project_user,authors,cells,confidence_rating,continents,countries,doi,evaluation_method,evidence_types,id,income_level,intervention_ids,intervention_labels,journal_name,keywords_string,outcome_ids,outcome_labels,publication_of_type,publication_of_type_short,record_id,status,study_status,title,type,url,year_of_publication
None,No,Q1,,"Takada, Shin; Morikawa, So; Idei, Rika; Kato, Hironori","[""Rural roads | Travel time, commuting and speed"", ""Rural roads | Transit affordability"", ""Rural roads | Household welfare and poverty""]",,"[""East Asia and Pacific""]","[""Cambodia""]",10.1007/s11116-020-10150-8,Fixed effects (incl. DiD),"[""Impact evaluations""]",33645,"[""Lower middle income""]","[""2162""]","[""Rural roads""]",TRANSPORTATION,Market Access|| rural road improvements|| Accessibility|| all-weather road|| household income|| Quasi-Experimental Design,"[""2181"", ""2185"", ""2361""]","[""Travel time, commuting and speed"", ""Transit affordability"", ""Household welfare and poverty""]",Journal article,JOUR,33645,Published,completed,Impacts of Improvements in Rural Roads on Household Income Through the Enhancement of Market Accessibility in Rural Areas of Cambodia,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/impacts-of-improvements-in-rural-roads-on-household-income-through-the-enhancement-of-market-accessibility-in-rural-areas-of-cambodia/33645,2021
Cost-benefit/cost-effectiveness analyses,No,Q2,,"Chong, Alberto; Valdivia, Martín","[""Rural roads | Travel time, commuting and speed"", ""Rural roads | Health access and outcomes""]",,"[""Latin America and Caribbean""]","[""Peru""]",10.1002/jid.3393,Fixed effects (incl. DiD),"[""Impact evaluations""]",33327,"[""Lower middle income""]","[""2162""]","[""Rural roads""]",Journal of International Development,Health: General (I10)|| Institutions|| Rural Roads|| Public-Private Partnership|| PERU,"[""2181"", ""2196""]","[""Travel time, commuting and speed"", ""Health access and outcomes""]",Journal article,JOUR,33327,Published,completed,Health Impacts of a Public–Private Partnership Rural Roads Maintenance Programme,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/health-impacts-of-a-public–private-partnership-rural-roads-maintenance-programme/33327,2018
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Raitzer, David; Blöndal, Nina; Sibal, Jasmin","[""Urban trains (subways, passenger trains, LRT, metros) | Travel time, commuting and speed"", ""Urban trains (subways, passenger trains, LRT, metros) | Transport safety"", ""Urban trains (subways, passenger trains, LRT, metros) | Equity in public transport access and safety"", ""Urban trains (subways, passenger trains, LRT, metros) | Air pollution and greenhouse gases"", ""Urban trains (subways, passenger trains, LRT, metros) | Land, housing, and rent prices and affordability"", ""Urban trains (subways, passenger trains, LRT, metros) | Goods and services prices and inflation"", ""Urban trains (subways, passenger trains, LRT, metros) | Health access and outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Education access and outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Economic activity"", ""Urban trains (subways, passenger trains, LRT, metros) | Trade and migration"", ""Urban trains (subways, passenger trains, LRT, metros) | Agricultural outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Household welfare and poverty"", ""Urban roads | Travel time, commuting and speed"", ""Urban roads | Transport safety"", ""Urban roads | Equity in public transport access and safety"", ""Urban roads | Air pollution and greenhouse gases"", ""Urban roads | Land, housing, and rent prices and affordability"", ""Urban roads | Goods and services prices and inflation"", ""Urban roads | Health access and outcomes"", ""Urban roads | Education access and outcomes"", ""Urban roads | Employment access and outcomes"", ""Urban roads | Economic activity"", ""Urban roads | Trade and migration"", ""Urban roads | Agricultural outcomes"", ""Urban roads | Household welfare and poverty"", ""Rural roads | Travel time, commuting and speed"", ""Rural roads | Transport safety"", ""Rural roads | Equity in public transport access and safety"", ""Rural roads | Air pollution and greenhouse gases"", ""Rural roads | Land, housing, and rent prices and affordability"", ""Rural roads | Goods and services prices and inflation"", ""Rural roads | Health access and outcomes"", ""Rural roads | Education access and outcomes"", ""Rural roads | Employment access and outcomes"", ""Rural roads | Economic activity"", ""Rural roads | Trade and migration"", ""Rural roads | Agricultural outcomes"", ""Rural roads | Household welfare and poverty"", ""Highways and national roads | Travel time, commuting and speed"", ""Highways and national roads | Transport safety"", ""Highways and national roads | Equity in public transport access and safety"", ""Highways and national roads | Air pollution and greenhouse gases"", ""Highways and national roads | Land, housing, and rent prices and affordability"", ""Highways and national roads | Goods and services prices and inflation"", ""Highways and national roads | Health access and outcomes"", ""Highways and national roads | Education access and outcomes"", ""Highways and national roads | Employment access and outcomes"", ""Highways and national roads | Economic activity"", ""Highways and national roads | Trade and migration"", ""Highways and national roads | Agricultural outcomes"", ""Highways and national roads | Household welfare and poverty"", ""Railways and intermunicipal trains | Travel time, commuting and speed"", ""Railways and intermunicipal trains | Transport safety"", ""Railways and intermunicipal trains | Equity in public transport access and safety"", ""Railways and intermunicipal trains | Air pollution and greenhouse gases"", ""Railways and intermunicipal trains | Land, housing, and rent prices and affordability"", ""Railways and intermunicipal trains | Goods and services prices and inflation"", ""Railways and intermunicipal trains | Health access and outcomes"", ""Railways and intermunicipal trains | Education access and outcomes"", ""Railways and intermunicipal trains | Employment access and outcomes"", ""Railways and intermunicipal trains | Economic activity"", ""Railways and intermunicipal trains | Trade and migration"", ""Railways and intermunicipal trains | Agricultural outcomes"", ""Railways and intermunicipal trains | Household welfare and poverty"", ""Circulation restrictions, non-price based | Travel time, commuting and speed"", ""Circulation restrictions, non-price based | Transport safety"", ""Circulation restrictions, non-price based | Equity in public transport access and safety"", ""Circulation restrictions, non-price based | Air pollution and greenhouse gases"", ""Circulation restrictions, non-price based | Land, housing, and rent prices and affordability"", ""Circulation restrictions, non-price based | Goods and services prices and inflation"", ""Circulation restrictions, non-price based | Health access and outcomes"", ""Circulation restrictions, non-price based | Education access and outcomes"", ""Circulation restrictions, non-price based | Employment access and outcomes"", ""Circulation restrictions, non-price based | Economic activity"", ""Circulation restrictions, non-price based | Trade and migration"", ""Circulation restrictions, non-price based | Agricultural outcomes"", ""Circulation restrictions, non-price based | Household welfare and poverty""]",low,"[""Multi-continent""]","[""Multi-country""]",10.22617/TCS190095-2,,"[""Low confidence reviews""]",34459,[],"[""2155"", ""2159"", ""2162"", ""2163"", ""2164"", ""2172""]","[""Urban trains (subways, passenger trains, LRT, metros)"", ""Urban roads"", ""Rural roads"", ""Highways and national roads"", ""Railways and intermunicipal trains"", ""Circulation restrictions, non-price based""]",Asian Development Bank (ADB) Economics Working Paper Series,Transport|| Multimodal Transport & Sector Development|| Rail transport|| Roads and Highways,"[""2181"", ""2183"", ""2191"", ""2192"", ""2194"", ""2195"", ""2196"", ""2197"", ""2201"", ""2202"", ""2203"", ""2204"", ""2361""]","[""Travel time, commuting and speed"", ""Transport safety"", ""Equity in public transport access and safety"", ""Air pollution and greenhouse gases"", ""Land, housing, and rent prices and affordability"", ""Goods and services prices and inflation"", ""Health access and outcomes"", ""Education access and outcomes"", ""Employment access and outcomes"", ""Economic activity"", ""Trade and migration"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Book or book chapter,CHAP,34459,Published,completed,Impact Evaluation of Transport Interventions: A Review of the Evidence,srr,https://developmentevidence.3ieimpact.org/search-result-details/systematic-review-repository/impact-evaluation-of-transport-interventions--a-review-of-the-evidence/34459,2019
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Khandker, Shahidur R.; Koolwal, Gayatri B.","[""Rural roads | Transit affordability"", ""Rural roads | Goods and services prices and inflation"", ""Rural roads | Education access and outcomes"", ""Rural roads | Employment access and outcomes"", ""Rural roads | Economic activity"", ""Rural roads | Agricultural outcomes"", ""Rural roads | Household welfare and poverty""]",,"[""South Asia""]","[""Bangladesh""]",no DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",5807,"[""Low income""]","[""2162""]","[""Rural roads""]",World Bank Policy Research Working Paper,Infrastructure Investments|| Rural Road|| Capita Expenditure|| Schooling|| Welfare Impacts|| Dynamic Panel Models,"[""2185"", ""2195"", ""2197"", ""2201"", ""2202"", ""2204"", ""2361""]","[""Transit affordability"", ""Goods and services prices and inflation"", ""Education access and outcomes"", ""Employment access and outcomes"", ""Economic activity"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Published working paper,RPRT,5807,Published,completed,Estimating The Long-Term Impacts Of Rural Roads: A Dynamic Panel Approach,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/estimating-the-long-term-impacts-of-rural-roads--a-dynamic-panel-approach/5807,2011
None,No,Q1,,"Khandker, Shahidur R.; Bakht, Said; Koolwal, Gayatri B.","[""Rural roads | Transit affordability"", ""Rural roads | Education access and outcomes"", ""Rural roads | Employment access and outcomes"", ""Rural roads | Agricultural outcomes"", ""Rural roads | Household welfare and poverty""]",,"[""South Asia""]","[""Bangladesh""]",10.1086/598765,Fixed effects (incl. DiD),"[""Impact evaluations""]",4563,"[""Low income""]","[""2162""]","[""Rural roads""]",Economic Development and Cultural Change,Rural Roads|| Infrastructure|| Household Income|| Poverty Reduction|| Public Good,"[""2185"", ""2197"", ""2201"", ""2204"", ""2361""]","[""Transit affordability"", ""Education access and outcomes"", ""Employment access and outcomes"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Journal article,JOUR,4563,Published,completed,The Poverty Impact Of Rural Roads: Evidence From Bangladesh,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-poverty-impact-of-rural-roads--evidence-from-bangladesh/4563,2009
Cost information (program costs and/or cost per participant),No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Idei, Rika","[""Rural roads | Private vehicle use"", ""Rural roads | Transit affordability"", ""Rural roads | Goods and services prices and inflation"", ""Rural roads | Inequality and segregation"", ""Rural roads | Economic activity""]",,"[""South Asia""]","[""India""]",NO DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",34407,"[""Low income""]","[""2162""]","[""Rural roads""]",Asian Development Bank (ADB) Economics Working Paper Series,Rural India|| Rural Roads|| baseline survey,"[""2178"", ""2185"", ""2195"", ""2199"", ""2202""]","[""Private vehicle use"", ""Transit affordability"", ""Goods and services prices and inflation"", ""Inequality and segregation"", ""Economic activity""]",Published working paper,RPRT,34407,Published,completed,Impact Evaluation of Road Improvements: Baseline Survey in Maharashtra State of India,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/impact-evaluation-of-road-improvements--baseline-survey-in-maharashtra-state-of-india/34407,2024
Cost information (program costs and/or cost per participant),Yes,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Cuesta, Ana","[""Rural roads | Private vehicle use"", ""Rural roads | Transit affordability"", ""Rural roads | Goods and services prices and inflation"", ""Rural roads | Inequality and segregation"", ""Rural roads | Economic activity""]",,"[""Latin America and Caribbean""]","[""Paraguay""]",NO DOI,Fixed effects (incl. DiD),"[""Ongoing evaluations""]",34396,"[""Upper middle income""]","[""2162""]","[""Rural roads""]",Inter-American Development Bank (IDB),,"[""2178"", ""2185"", ""2195"", ""2199"", ""2202""]","[""Private vehicle use"", ""Transit affordability"", ""Goods and services prices and inflation"", ""Inequality and segregation"", ""Economic activity""]",Published working paper,RPRT,34396,Published,ongoing,Evaluación de Impacto del Programa de Mejoramiento de Caminos Vecinales en Paraguay: Informe de Línea de Referencia,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/evaluación-de-impacto-del-programa-de-mejoramiento-de-caminos-vecinales-en-paraguay--informe-de-línea-de-referencia/34396,2019
None,No,Q1,,"Garg, Teevrat; Jagnani, Maulik; Pullabhotla, Hemant K.","[""Rural roads | Air pollution and greenhouse gases""]",,"[""South Asia""]","[""India""]",https://doi.org/10.1257/pol.20220422,Regression discontinuity design,"[""Impact evaluations""]",31916,"[""Low income""]","[""2162""]","[""Rural roads""]",American Economic Journal: Economic Policy,Rural Roads|| India|| crop fires|| Infant Mortality Rate,"[""2192""]","[""Air pollution and greenhouse gases""]",Journal article,JOUR,31916,Published,completed,"Rural Roads, Farm Labor Exits, and Crop Fires",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/rural-roads--farm-labor-exits--and-crop-fires/31916,2024
Cost information (program costs and/or cost per participant),No,Q1,,"Aggarwal, Shilpa","[""Rural roads | Private vehicle use"", ""Rural roads | Goods and services prices and inflation"", ""Rural roads | Education access and outcomes"", ""Rural roads | Access to other goods and services"", ""Rural roads | Employment access and outcomes"", ""Rural roads | Agricultural outcomes""]",,"[""South Asia""]","[""India""]",https://doi.org/10.1016/j.jdeveco.2018.01.004,Regression discontinuity design,"[""Impact evaluations""]",21445,"[""Low income""]","[""2162""]","[""Rural roads""]",Journal of Development Economics,Roads|| Market Integration|| Technology Adoption|| School Enrollments|| Consumption variety,"[""2178"", ""2195"", ""2197"", ""2198"", ""2201"", ""2204""]","[""Private vehicle use"", ""Goods and services prices and inflation"", ""Education access and outcomes"", ""Access to other goods and services"", ""Employment access and outcomes"", ""Agricultural outcomes""]",Journal article,JOUR,21445,Published,completed,Do Rural Roads Create Pathways Out of Poverty? Evidence from India,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/do-rural-roads-create-pathways-out-of-poverty--evidence-from-india/21445,2018
None,Yes,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,Corral L.; Zane G.,"[""Rural roads | Time used in other activities"", ""Rural roads | Health access and outcomes"", ""Rural roads | Education access and outcomes"", ""Rural roads | Access to other goods and services"", ""Rural roads | Employment access and outcomes"", ""Rural roads | Agricultural outcomes"", ""Rural roads | Household welfare and poverty""]",,"[""Latin America and Caribbean""]","[""Ecuador""]",10.18235/0003046,Statistical matching,"[""Impact evaluations""]",20970,"[""Upper middle income""]","[""2162""]","[""Rural roads""]",Other,Rural Roads|| Rehabilitation Works|| Indigenous Communities|| Food security|| Ecuador,"[""2182"", ""2196"", ""2197"", ""2198"", ""2201"", ""2204"", ""2361""]","[""Time used in other activities"", ""Health access and outcomes"", ""Education access and outcomes"", ""Access to other goods and services"", ""Employment access and outcomes"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Published report,RPRT,20970,Published,completed,Chimborazo Rural Investment Project: Rural Roads Component Impact Evaluation.,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/chimborazo-rural-investment-project--rural-roads-component-impact-evaluation-/20970,2021
None,No,Q1,,"Jaarsma, Rinus; Louwerse, Robert; Dijkstra, Atze; de Vries, Jasper; Spas, Jac-Paul","[""Rural roads | Transport safety""]",,"[""Europe and Central Asia""]","[""Netherlands""]",10.1016/j.aap.2011.03.001,Fixed effects (incl. DiD),"[""Impact evaluations""]",33395,"[""High income""]","[""2162""]","[""Rural roads""]",ACCIDENT ANALYSIS AND PREVENTION,,"[""2183""]","[""Transport safety""]",Journal article,JOUR,33395,Published EGM,completed,Making Minor Rural Road Networks Safer: The Fffects of 60 km/h-Zones,ier,https://www.sciencedirect.com/science/article/pii/S0001457511000522?casa_token=HAzXq1Uc0x4AAAAA:jOfd1NHKiuxgXDsN6LM5MeMzDTPn934T08FNn0TNI8eGuLVCH_8kkpRzTBNWX3RUqT4ipLLialM,2011
None,No,Q1,,"Nguyen, Cuong Viet","[""Rural roads | Other transport infrastructure access and use"", ""Rural roads | Education access and outcomes"", ""Rural roads | Employment access and outcomes"", ""Rural roads | Economic activity"", ""Rural roads | Trade and migration""]",,"[""East Asia and Pacific""]","[""Vietnam""]",10.1108/JED-06-2019-0002,Statistical matching,"[""Impact evaluations""]",23310,"[""Low income""]","[""2162""]","[""Rural roads""]",Journal of Development Economics,Vietnam|| Propensity Score Matching (PSM)|| Impact evaluation|| replication|| Rural Roads,"[""2180"", ""2197"", ""2201"", ""2202"", ""2203""]","[""Other transport infrastructure access and use"", ""Education access and outcomes"", ""Employment access and outcomes"", ""Economic activity"", ""Trade and migration""]",Journal article,JOUR,23310,Published,completed,Impacts of Rural Roads on Household Welfare in Vietnam: Evidence from a Replication Study,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/impacts-of-rural-roads-on-household-welfare-in-vietnam--evidence-from-a-replication-study/23310,2019
Cost information (program costs and/or cost per participant),No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Valdivia, Martín","[""Rural roads | Other transport infrastructure access and use"", ""Rural roads | Health access and outcomes"", ""Rural roads | Education access and outcomes"", ""Rural roads | Employment access and outcomes"", ""Rural roads | Household welfare and poverty""]",,"[""Latin America and Caribbean""]","[""Peru""]",10.2139/ssrn.1807271,Fixed effects (incl. DiD),"[""Impact evaluations""]",33482,"[""Lower middle income""]","[""2162""]","[""Rural roads""]",PEP Working Paper,Peru|| Rural Roads|| Contracting|| Provision of public services,"[""2180"", ""2196"", ""2197"", ""2201"", ""2361""]","[""Other transport infrastructure access and use"", ""Health access and outcomes"", ""Education access and outcomes"", ""Employment access and outcomes"", ""Household welfare and poverty""]",Published working paper,RPRT,33482,Published,completed,Contracting the Road to Development: Early Impacts of a Rural Roads Program,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/contracting-the-road-to-development--early-impacts-of-a-rural-roads-program/33482,2010
Cost information (program costs and/or cost per participant),No,Q2,,"Garz, Seth; Perova, Elizaveta","[""Rural roads | Other transport infrastructure access and use"", ""Rural roads | Goods and services prices and inflation"", ""Rural roads | Health access and outcomes"", ""Rural roads | Education access and outcomes"", ""Rural roads | Inequality and segregation"", ""Rural roads | Employment access and outcomes""]",,"[""Latin America and Caribbean""]","[""Nicaragua""]",https://doi.org/10.1080/19439342.2021.1905048,Fixed effects (incl. DiD),"[""Impact evaluations""]",22789,"[""Lower middle income""]","[""2162""]","[""Rural roads""]",Journal of Development Effectiveness,Rural Roads|| road rehabilitation|| Nicaragua|| Job Creation,"[""2180"", ""2195"", ""2196"", ""2197"", ""2199"", ""2201""]","[""Other transport infrastructure access and use"", ""Goods and services prices and inflation"", ""Health access and outcomes"", ""Education access and outcomes"", ""Inequality and segregation"", ""Employment access and outcomes""]",Journal article,JOUR,22789,Published,completed,Prioritising Job Creation Without Undermining Public Works Construction Among Road Improvement Projects in Rural Nicaragua,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/prioritising-job-creation-without-undermining-public-works-construction-among-road-improvement-projects-in-rural-nicaragua/22789,2021
Cost information (program costs and/or cost per participant),No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Hine, J.; Abedin, M.; Stevens, R.J.; Airey, T.; Anderson, T.","[""Rural roads | Other transport infrastructure access and use"", ""Rural roads | Health access and outcomes"", ""Rural roads | Education access and outcomes"", ""Rural roads | Household welfare and poverty""]",low,"[""Sub-Saharan Africa"", ""East Asia and Pacific"", ""Latin America and Caribbean"", ""South Asia"", ""Europe and Central Asia"", ""Middle East and North Africa""]","[""Ethiopia"", ""Uganda"", ""Kenya"", ""Tanzania"", ""Ghana"", ""Sierra Leone"", ""Zimbabwe"", ""Mozambique"", ""Cameroon"", ""Madagascar"", ""Benin"", ""Zambia"", ""South Africa"", ""Nigeria"", ""Burkina Faso"", ""Malawi"", ""Vietnam"", ""Indonesia"", ""China"", ""Thailand"", ""Philippines"", ""Lao PDR"", ""Belize"", ""Ecuador"", ""Peru"", ""Honduras"", ""Nicaragua"", ""India"", ""Bangladesh"", ""Nepal"", ""Sri Lanka"", ""Pakistan"", ""Georgia"", ""Yemen, Rep."", ""Morocco""]",No DOI,,"[""Low confidence reviews""]",9419,"[""Low income"", ""Lower middle income"", ""Upper middle income""]","[""2162""]","[""Rural roads""]",Other,Rural Development|| Agricultural Markets|| Road Access|| Rural Infrastructure|| Cost-Benefit Analysis|| Poverty Reduction,"[""2180"", ""2196"", ""2197"", ""2361""]","[""Other transport infrastructure access and use"", ""Health access and outcomes"", ""Education access and outcomes"", ""Household welfare and poverty""]",Published report,RPRT,9419,Published,completed,Does The Extension Of The Rural Road Network Have A Positive Impact On Poverty Reduction And Resilience For The Rural Areas Served?,srr,https://developmentevidence.3ieimpact.org/search-result-details/systematic-review-repository/does-the-extension-of-the-rural-road-network-have-a-positive-impact-on-poverty-reduction-and-resilience-for-the-rural-areas-served-/9419,2016
Cost information (program costs and/or cost per participant),No,Q1,,"Dappe, Matías Herrera; Alam, Muneeza Mehmood; Andres, Luis","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Health access and outcomes"", ""Rural roads | Education access and outcomes"", ""Rural roads | Inequality and segregation"", ""Rural roads | Employment access and outcomes"", ""Rural roads | Economic activity""]",,"[""South Asia""]","[""India""]",No DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",21709,"[""Low income""]","[""2162""]","[""Rural roads""]",The World Bank Group,Rural Roads|| India|| Difference In Differences|| farm-to-market connectivity,"[""2195"", ""2196"", ""2197"", ""2199"", ""2201"", ""2202""]","[""Goods and services prices and inflation"", ""Health access and outcomes"", ""Education access and outcomes"", ""Inequality and segregation"", ""Employment access and outcomes"", ""Economic activity""]",Published report,RPRT,21709,Published,completed,The Road to Opportunities in Rural India : The Economic and Social Impacts of PMGSY,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-road-to-opportunities-in-rural-india---the-economic-and-social-impacts-of-pmgsy/21709,2021
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Casaburi, Lorenzo; Glennerster,Rachel; Suri, Tavneet","[""Rural roads | Goods and services prices and inflation""]",,"[""Sub-Saharan Africa""]","[""Sierra Leone""]",https://dx.doi.org/10.2139/ssrn.2161643,Regression discontinuity design,"[""Impact evaluations""]",21446,"[""Low income""]","[""2162""]","[""Rural roads""]",SSRN Electronic Journal,Rural Roads|| agricultural product markets|| Prices|| market structure|| search frictions,"[""2195""]","[""Goods and services prices and inflation""]",Journal article,JOUR,21446,Published,completed,Rural Roads and Intermediated Trade: Regression Discontinuity Evidence from Sierra Leone,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/rural-roads-and-intermediated-trade--regression-discontinuity-evidence-from-sierra-leone/21446,2013
Cost information (program costs and/or cost per participant),No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Parada, Javier","[""Rural roads | Goods and services prices and inflation""]",,"[""Latin America and Caribbean""]","[""Nicaragua""]",noDOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",21351,"[""Lower middle income""]","[""2162""]","[""Rural roads""]",Other,Rural Roads|| Transportation|| Market Integration,"[""2195""]","[""Goods and services prices and inflation""]",Published report,RPRT,21351,Published,completed,Access to Modern Markets and the Impacts of Rural Road Rehabilitation: Evidence from Nicaragua,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/access-to-modern-markets-and-the-impacts-of-rural-road-rehabilitation--evidence-from-nicaragua/21351,2017
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Edmonds, Christopher; Wiegand, Martin; Koomen, Eric; Pradhan, Menno; Andree, Bo Pieter Johannes","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Education access and outcomes"", ""Rural roads | Access to other goods and services"", ""Rural roads | Inequality and segregation"", ""Rural roads | Economic activity""]",,"[""East Asia and Pacific""]","[""Papua New Guinea""]",No DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",13411,"[""Lower middle income""]","[""2162""]","[""Rural roads""]","Financing Infrastructure in Asia and the Pacific: Capturing Impacts and New Sources. Yoshino, Naoyuki. Helble, Matthias. Abidhadjaev, Umid, eds., Tokyo: Asian Development Bank Institute.",Economic Development: Urban|| Rural|| Regional|| and Transportation Analysis|| Housing|| Infrastructure (O18)|| Microeconomic Analyses of Economic Development (O12)|| Project Analysis (O22)|| Public Facility Location Analysis|| Public Investment and Capital Stock (R53)|| Road Maintenance|| Transportation Planning (R42)|| State and Local Government: Other Expenditure Categories (H76)|| Transportation Economics: Government and Private Investment Analysis,"[""2195"", ""2197"", ""2198"", ""2199"", ""2202""]","[""Goods and services prices and inflation"", ""Education access and outcomes"", ""Access to other goods and services"", ""Inequality and segregation"", ""Economic activity""]",Book or book chapter,CHAP,13411,Published,completed,Assessing the Impact of Road Development on Household Welfare in Rural Papua New Guinea,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/assessing-the-impact-of-road-development-on-household-welfare-in-rural-papua-new-guinea/13411,2018
None,No,Q2,,"Khusaini, Khusaini; Sentosa, Bambang Mardi; Putro, Tetuko Rawidyo","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Inequality and segregation""]",,"[""East Asia and Pacific""]","[""Indonesia""]",https://doi.org/10.15408/etk.v22i2.28618,Fixed effects (incl. DiD),"[""Impact evaluations""]",29477,"[""Lower middle income""]","[""2162""]","[""Rural roads""]",Other,Inequality|| Road Infrastructure|| Rural|| Special allocation funds|| Urban,"[""2195"", ""2199""]","[""Goods and services prices and inflation"", ""Inequality and segregation""]",Journal article,JOUR,29477,Published,completed,Fiscal Transfer Policies and Road Infrastructure Reduce Income Inequality in Rural-Urban Areas,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/fiscal-transfer-policies-and-road-infrastructure-reduce-income-inequality-in-rural-urban-areas/29477,2023
None,No,Q1,,"Dercon, Stefan; Gilligan, Daniel O.; Hoddinott, John; Woldehanna, Tassew","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Inequality and segregation""]",,"[""Sub-Saharan Africa""]","[""Ethiopia""]",10.1111/j.l467-8276.2009.01325.x,Instrumental variable estimation,"[""Impact evaluations""]",4555,"[""Low income""]","[""2162""]","[""Rural roads""]",American Journal of Agricultural Economics,Extension|| Growth|| Poverty|| Roads|| Food systems and nutrition,"[""2195"", ""2199""]","[""Goods and services prices and inflation"", ""Inequality and segregation""]",Journal article,JOUR,4555,Published,completed,The Impact Of Agricultural Extension And Roads On Poverty And Consumption Growth In Fifteen Ethiopian Villages,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-impact-of-agricultural-extension-and-roads-on-poverty-and-consumption-growth-in-fifteen-ethiopian-villages/4555,2009
None,No,Q2,,"Charlery, Lindy C.; Qaim, Matin; Smith-Hall, Carsten","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Inequality and segregation"", ""Rural roads | Economic activity""]",,"[""South Asia""]","[""Nepal""]",10.1080/19439342.2015.1079794,Fixed effects (incl. DiD),"[""Impact evaluations""]",6324,"[""Low income""]","[""2162""]","[""Rural roads""]",Journal of Development Effectiveness,Difference-In-Difference|| Impact Evaluation|| Rural Roads|| Income|| Nepal,"[""2195"", ""2199"", ""2202""]","[""Goods and services prices and inflation"", ""Inequality and segregation"", ""Economic activity""]",Journal article,JOUR,6324,Published,completed,Impact Of Infrastructure On Rural Household Income And Inequality In Nepal,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/impact-of-infrastructure-on-rural-household-income-and-inequality-in-nepal/6324,2016
None,No,Q1,,"Dumas, Christelle; Játiva, Ximena","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Inequality and segregation"", ""Rural roads | Economic activity""]",,"[""Sub-Saharan Africa""]","[""Tanzania""]",10.1093/wber/lhae017,Statistical matching,"[""Impact evaluations""]",33351,"[""Low income""]","[""2162""]","[""Rural roads""]",The World Bank Economic Review,Roads|| POVERTY|| Rural Households|| Africa,"[""2195"", ""2199"", ""2202""]","[""Goods and services prices and inflation"", ""Inequality and segregation"", ""Economic activity""]",Journal article,JOUR,33351,Published,completed,"Better Roads, Better Off? Evidence on Upgrading Roads in Tanzania",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/better-roads--better-off--evidence-on-upgrading-roads-in-tanzania/33351,2024
