assigned_project_user,authors,cells,confidence_rating,continents,countries,doi,evidence_types,id,intervention_ids,intervention_labels,journal_name,keywords_string,outcome_ids,outcome_labels,publication_of_type,publication_of_type_short,record_id,status,study_status,title,type,url,year_of_publication
,"Benevenuto, Rodolfo Gomes; Caulfield B","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Health access and outcomes"", ""Rural roads | Inequality and segregation"", ""Rural roads | Employment access and outcomes"", ""Rural roads | Economic activity""]",,"[""Latin America and Caribbean""]","[""Brazil""]",10.1016/j.tranpol.2022.02.013,"[""Impact evaluations""]",33290,"[""2162""]","[""Rural roads""]",TRANSPORT POLICY,,"[""2195"", ""2196"", ""2199"", ""2201"", ""2202""]","[""Goods and services prices and inflation"", ""Health access and outcomes"", ""Inequality and segregation"", ""Employment access and outcomes"", ""Economic activity""]",Journal article,JOUR,33290,Published,Completed,Examining the Socioeconomic Outcomes of Transport Interventions in the Global South,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/examining-the-socioeconomic-outcomes-of-transport-interventions-in-the-global-south/33290,2022
,"Ahmed Hasen, Musa; Tesfaye, Wondimagegn; Dietrich, Stephan; Gassmann, Franziska","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Education access and outcomes"", ""Rural roads | Inequality and segregation""]",,"[""Sub-Saharan Africa""]","[""Ethiopia""]",10.1080/00220388.2024.2383397,"[""Impact evaluations""]",33263,"[""2162""]","[""Rural roads""]",JOURNAL OF DEVELOPMENT STUDIES,HUMAN capital|| Child Labour|| Rural Roads|| Drought|| quasi-experiment,"[""2195"", ""2197"", ""2199""]","[""Goods and services prices and inflation"", ""Education access and outcomes"", ""Inequality and segregation""]",,,33263,Published,Completed,"Rural Roads, Child Labor, and Schooling in Rural Ethiopia",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/rural-roads--child-labor--and-schooling-in-rural-ethiopia/33263,2024
,"Anti, Sebastian; Zhang, Zhihui","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Health access and outcomes"", ""Rural roads | Inequality and segregation"", ""Rural roads | Crime and citizen security"", ""Rural roads | Employment access and outcomes""]",,"[""East Asia and Pacific""]","[""Cambodia""]",10.1016/j.worlddev.2023.106361,"[""Impact evaluations""]",34373,"[""2162""]","[""Rural roads""]",World Development,Roads|| Female empowerment|| Domestic Violence|| Gender Equity|| Female Employment|| Contraceptive Use,"[""2195"", ""2196"", ""2199"", ""2200"", ""2201""]","[""Goods and services prices and inflation"", ""Health access and outcomes"", ""Inequality and segregation"", ""Crime and citizen security"", ""Employment access and outcomes""]",Journal article,JOUR,34373,Published,Completed,"Roads, Women's Employment, and Gender Equity: Evidence from Cambodia",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/roads--women-s-employment--and-gender-equity--evidence-from-cambodia/34373,2023
,"Djemai, Elodie","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Inequality and segregation""]",,"[""Multi-continent""]","[""Multi-country""]",10.1016/j.worlddev.2024.106691,"[""Impact evaluations""]",34365,"[""2162""]","[""Rural roads""]",World Development,Roads|| Subjective Well-Being|| Basic Needs|| material deprivation|| Africa,"[""2195"", ""2199""]","[""Goods and services prices and inflation"", ""Inequality and segregation""]",Journal article,JOUR,34365,Published,Completed,Take the Highway? Paved Roads and Well-Being in Africa,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/take-the-highway--paved-roads-and-well-being-in-africa/34365,2024
,"Benyishay, Ariel; Parks, Brad; Trichler, Rachel; Baehr, Christian; Aboagye, Daniel; Prum, Punwath","[""Rural roads | Health access and outcomes"", ""Rural roads | Access to other goods and services"", ""Rural roads | Economic activity"", ""Rural roads | Household welfare and poverty""]",,"[""East Asia and Pacific""]","[""Cambodia""]",No DOI,"[""Impact evaluations""]",20416,"[""2162""]","[""Rural roads""]",Other,Foundation Stone|| Infrastructure|| Governance|| Cambodia,"[""2196"", ""2198"", ""2202"", ""2361""]","[""Health access and outcomes"", ""Access to other goods and services"", ""Economic activity"", ""Household welfare and poverty""]",Published report,RPRT,20416,Published,Completed,Building on a Foundation Stone: The Long-Term Impacts of a Local Infrastructure and Governance Program in Cambodia,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/building-on-a-foundation-stone--the-long-term-impacts-of-a-local-infrastructure-and-governance-program-in-cambodia/20416,2019
,"Shilpa, Aggarwal","[""Rural roads | Health access and outcomes""]",,"[""South Asia""]","[""India""]",No DOI,"[""Impact evaluations""]",11496,"[""2162""]","[""Rural roads""]",Other,Roads|| Healthcare|| Service Delivery|| Vaccination,"[""2196""]","[""Health access and outcomes""]",Published working paper,RPRT,11496,Published,Completed,The Long Road To Health: Healthcare Utilization Impacts Of A Road Pavement Policy In Rural India,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-long-road-to-health--healthcare-utilization-impacts-of-a-road-pavement-policy-in-rural-india/11496,2018
,"Dasgupta, Aparajita; Karandikar, Anahita; Raghav, Devvrat","[""Rural roads | Health access and outcomes"", ""Rural roads | Employment access and outcomes""]",,"[""South Asia""]","[""India""]",https://doi.org/10.1111/padr.12604,"[""Impact evaluations""]",30923,"[""2162""]","[""Rural roads""]",Population and Development Review,Rural Roads|| Fertility Rate|| child health|| India,"[""2196"", ""2201""]","[""Health access and outcomes"", ""Employment access and outcomes""]",Journal article,JOUR,30923,Published,Completed,"Road Access, Fertility, and Child Health in Rural India",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/road-access--fertility--and-child-health-in-rural-india/30923,2024
,"Djemai, Elodie","[""Rural roads | Health access and outcomes""]",,"[""Sub-Saharan Africa""]","[""Cameroon"", ""Ethiopia"", ""Kenya"", ""Malawi"", ""Zimbabwe""]",https://doi.org/10.1016/j.jhealeco.2018.05.004,"[""Impact evaluations""]",34339,"[""2162""]","[""Rural roads""]",Journal of Health Economics,,"[""2196""]","[""Health access and outcomes""]",Journal article,JOUR,34339,Published EGM,Completed,Roads and the Spread of HIV in Africa,ier,https://www.sciencedirect.com/science/article/abs/pii/S0167629617304782?via%3Dihub,2018
,Banerjee Rakesh; Sachdeva Ashish,"[""Rural roads | Health access and outcomes""]",,"[""South Asia""]","[""India""]",10.2139/ssrn.2636999,"[""Impact evaluations""]",33281,"[""2162""]","[""Rural roads""]",USC-INET Research Paper,Roads|| Preventive Health Care,"[""2196""]","[""Health access and outcomes""]",Published working paper,RPRT,33281,Published,Completed,"Pathways to Preventive Health, Evidence from India's Rural Road Program",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/pathways-to-preventive-health--evidence-from-india-s-rural-road-program/33281,2015
,"Abou-Ali, Hala; El-Azony, Hesham; El-Laithy, Heba; Haughton, Jonathan; Khandker, Shahidur R.","[""Rural roads | Health access and outcomes"", ""Rural roads | Education access and outcomes"", ""Rural roads | Employment access and outcomes""]",,"[""Middle East and North Africa""]","[""Egypt, Arab Rep.""]",No DOI,"[""Impact evaluations""]",21611,"[""2162""]","[""Rural roads""]",World Bank Policy Research Working Paper,Community Development|| Social Funds|| Public Works Program|| Microcredit|| Impact evalaution|| Egypt,"[""2196"", ""2197"", ""2201""]","[""Health access and outcomes"", ""Education access and outcomes"", ""Employment access and outcomes""]",Published working paper,RPRT,21611,Published,Completed,Evaluating the Impact of Egyptian Social Fund for Development Programs,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/evaluating-the-impact-of-egyptian-social-fund-for-development-programs/21611,2009
,"Foster, Vivien; Gorgulu, Nisan; Straub, Stéphane; Vagliasindi, Maria","[""Urban trains (subways, passenger trains, LRT, metros) | Health access and outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Education access and outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Economic activity"", ""Urban trains (subways, passenger trains, LRT, metros) | Agricultural outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Household welfare and poverty"", ""Rural roads | Health access and outcomes"", ""Rural roads | Education access and outcomes"", ""Rural roads | Employment access and outcomes"", ""Rural roads | Economic activity"", ""Rural roads | Agricultural outcomes"", ""Rural roads | Household welfare and poverty"", ""Highways and national roads | Health access and outcomes"", ""Highways and national roads | Education access and outcomes"", ""Highways and national roads | Employment access and outcomes"", ""Highways and national roads | Economic activity"", ""Highways and national roads | Agricultural outcomes"", ""Highways and national roads | Household welfare and poverty"", ""Railways and intermunicipal trains | Health access and outcomes"", ""Railways and intermunicipal trains | Education access and outcomes"", ""Railways and intermunicipal trains | Employment access and outcomes"", ""Railways and intermunicipal trains | Economic activity"", ""Railways and intermunicipal trains | Agricultural outcomes"", ""Railways and intermunicipal trains | Household welfare and poverty"", ""Ports | Health access and outcomes"", ""Ports | Education access and outcomes"", ""Ports | Employment access and outcomes"", ""Ports | Economic activity"", ""Ports | Agricultural outcomes"", ""Ports | Household welfare and poverty""]",low,"[""Multi-continent""]","[""Multi-country""]",10.1596/1813-9450-10343,"[""Low confidence reviews""]",33766,"[""2155"", ""2162"", ""2163"", ""2164"", ""2167""]","[""Urban trains (subways, passenger trains, LRT, metros)"", ""Rural roads"", ""Highways and national roads"", ""Railways and intermunicipal trains"", ""Ports""]",World Bank Policy Research Working Paper,infrastructure|| development impact|| Transport|| Rural Road|| highway|| railroad|| ports,"[""2196"", ""2197"", ""2201"", ""2202"", ""2204"", ""2361""]","[""Health access and outcomes"", ""Education access and outcomes"", ""Employment access and outcomes"", ""Economic activity"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Published working paper,RPRT,33766,Published,Completed,The Impact of Infrastructure on Development Outcomes: A Qualitative Review of Four Decades of Literature,srr,https://developmentevidence.3ieimpact.org/search-result-details/systematic-review-repository/the-impact-of-infrastructure-on-development-outcomes--a-qualitative-review-of-four-decades-of-literature/33766,2023
,"Charles, Ainsley U. P.","[""Rural roads | Education access and outcomes"", ""Rural roads | Employment access and outcomes"", ""Rural roads | Agricultural outcomes""]",,"[""Latin America and Caribbean""]","[""Trinidad and Tobago""]",No DOI,"[""Impact evaluations""]",21707,"[""2162""]","[""Rural roads""]",Other,Rural Roads|| Rural India|| Propensity-Score Matching|| Agriculture|| Education Outcome,"[""2197"", ""2201"", ""2204""]","[""Education access and outcomes"", ""Employment access and outcomes"", ""Agricultural outcomes""]",Thesis,Thesis,21707,Published,Completed,"Rural Roads, Education, and Agriculture: A Microeconometric Evaluation Study Using Trinidad and Tobago Data",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/rural-roads--education--and-agriculture--a-microeconometric-evaluation-study-using-trinidad-and-tobago-data/21707,2010
,"Lee, Jason","[""Rural roads | Education access and outcomes""]",,"[""North America""]","[""United States""]",NO DOI,"[""Impact evaluations""]",34544,"[""2162""]","[""Rural roads""]",Other,,"[""2197""]","[""Education access and outcomes""]",Book or book chapter,CHAP,34544,Published EGM,Completed,Paving the Way to Educational Success: Road Improvement and 118 School Outcomes: 1900-1920.,ier,https://escholarship.org/content/qt5ct198kp/qt5ct198kp_noSplash_d27d7b1dd3dda86e29c881b0ab5fa4d6.pdf?t=pyhw3v,2012
,"Adukia, Anjali; Asher, Sam; Novosad, Paul","[""Rural roads | Education access and outcomes""]",,"[""South Asia""]","[""India""]",10.1257/app.20180036,"[""Impact evaluations""]",33510,"[""2162""]","[""Rural roads""]",Becker Friedman Institute for Research In Economics,Schooling|| Rural Roads|| Rural India|| road construction,"[""2197""]","[""Education access and outcomes""]",Published working paper,RPRT,33510,Published,Completed,Educational Investment Responses to Economic Opportunity: Evidence from Indian Road Construction,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/educational-investment-responses-to-economic-opportunity--evidence-from-indian-road-construction/33510,2020
,"Ortega, Maria Adelaida","[""Rural roads | Access to other goods and services"", ""Rural roads | Economic activity"", ""Rural roads | Agricultural outcomes""]",,"[""Latin America and Caribbean""]","[""Colombia""]",10.2139/ssrn.3265330,"[""Impact evaluations""]",33434,"[""2162""]","[""Rural roads""]",Documento CEDE No. 2018-44,Rural Roads|| Agricultural Economics|| Productivity|| Structural Change|| Colombia,"[""2198"", ""2202"", ""2204""]","[""Access to other goods and services"", ""Economic activity"", ""Agricultural outcomes""]",Thesis,Thesis,33434,Published,Completed,Conectando Mercados: Vías Rurales Y Producción Agrícola En El Contexto De Una Economía Dual (Connecting Markets: Rural Roads and Agricultural Production in a Dual Economy),ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/conectando-mercados--vías-rurales-y-producción-agrícola-en-el-contexto-de-una-economía-dual-(connecting-markets--rural-roads-and-agricultural-production-in-a-dual-economy)/33434,2018
,"Knox, Jerry; Daccache, Andre; Hess, Tim","[""Rural roads | Access to other goods and services"", ""Rural roads | Economic activity"", ""Rural roads | Agricultural outcomes"", ""Rural roads | Household welfare and poverty""]",low,"[""East Asia and Pacific"", ""South Asia"", ""Sub-Saharan Africa"", ""Europe and Central Asia""]","[""China"", ""Philippines"", ""Thailand"", ""Vietnam"", ""Indonesia"", ""Lao PDR"", ""India"", ""Bangladesh"", ""Pakistan"", ""Nepal"", ""Ethiopia"", ""Tanzania"", ""Uganda"", ""Greece""]",No DOI,"[""Low confidence reviews""]",9498,"[""2162""]","[""Rural roads""]",Environmental Evidence,Road Infrastructure|| Electricity|| Irrigation|| Agricultural Productivity|| Rural Development|| Labour Market,"[""2198"", ""2202"", ""2204"", ""2361""]","[""Access to other goods and services"", ""Economic activity"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Published working paper,RPRT,9498,Published,Completed,"What Is the Impact of Infrastructural Investments in Roads, Electricity and Irrigation on Agricultural Productivity?",srr,https://developmentevidence.3ieimpact.org/search-result-details/systematic-review-repository/what-is-the-impact-of-infrastructural-investments-in-roads--electricity-and-irrigation-on-agricultural-productivity-/9498,2013
,"Skelley, Jack","[""Rural roads | Employment access and outcomes"", ""Rural roads | Agricultural outcomes""]",,"[""South Asia""]","[""India""]",No DOI,"[""Impact evaluations""]",21761,"[""2162""]","[""Rural roads""]",,Agricultural Markets|| Road|| Rural India|| Agricultural Production,"[""2201"", ""2204""]","[""Employment access and outcomes"", ""Agricultural outcomes""]",Thesis,Thesis,21761,Published,Completed,"This Little Village Went to Market: Roads, trade frictions, and market access in India",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/this-little-village-went-to-market--roads--trade-frictions--and-market-access-in-india/21761,2018
,"Asher, Sam; Novosad, Paul","[""Rural roads | Employment access and outcomes""]",,"[""South Asia""]","[""India""]",https://doi.org/10.1257/aer.20180268,"[""Impact evaluations""]",16963,"[""2162""]","[""Rural roads""]",American Economic Review,Labor Market|| Transport|| Feeder Roads|| Local Economic Development|| Nonfarm Employment|| Rural Roads,"[""2201""]","[""Employment access and outcomes""]",Published report,RPRT,16963,Published,Completed,Rural Roads and Local Economic Development,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/rural-roads-and-local-economic-development/16963,2018
,"Peón, David; Rodríguez‐Álvarez, Jorge; López‐Iglesias, Edelmiro","[""Rural roads | Employment access and outcomes"", ""Rural roads | Economic activity"", ""Rural roads | Trade and migration""]",,"[""Europe and Central Asia""]","[""Spain""]",10.1111/pirs.12463,"[""Impact evaluations""]",33447,"[""2162""]","[""Rural roads""]",PAPERS IN REGIONAL SCIENCE,,"[""2201"", ""2202"", ""2203""]","[""Employment access and outcomes"", ""Economic activity"", ""Trade and migration""]",Journal article,JOUR,33447,Published EGM,Completed,Spread or backwash: The Impact on Population Dynamics and Business Performance of a New Road in a Rural County of Galicia (Spain),ier,https://www.sciencedirect.com/science/article/pii/S1056819023013568?via%3Dihub,2019
,"Mannava, Aneesh; Perova, Elizaveta; Tran, Phuong Thin Minh","[""Rural roads | Employment access and outcomes"", ""Rural roads | Economic activity"", ""Rural roads | Agricultural outcomes""]",,"[""East Asia and Pacific""]","[""Vietnam""]",unspecified,"[""Impact evaluations""]",12893,"[""2162""]","[""Rural roads""]",World Bank Policy Research Working Paper,Transport|| Agriculture|| Gender|| Mixed Methods|| Food systems and nutrition,"[""2201"", ""2202"", ""2204""]","[""Employment access and outcomes"", ""Economic activity"", ""Agricultural outcomes""]",Published report,RPRT,12893,Published,Completed,Who Benefits From Better Roads And Why? Mixed Methods Analysis Of The Gender-Disaggregated Impacts Of A Rural Roads Project In Vietnam,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/who-benefits-from-better-roads-and-why--mixed-methods-analysis-of-the-gender-disaggregated-impacts-of-a-rural-roads-project-in-vietnam/12893,2020
,Cuong Viet Nguyen; Tung Duc Phung; Van Khanh Ta,"[""Rural roads | Employment access and outcomes"", ""Rural roads | Agricultural outcomes""]",,"[""East Asia and Pacific""]","[""Vietnam""]",10.1080/02692171.2017.1324408,"[""Impact evaluations""]",15635,"[""2162""]","[""Rural roads""]",International Review of Applied Economics,Health|| Economic Development: Urban|| Rural|| Regional|| and Transportation Analysis|| Housing|| Infrastructure (O18)|| Safety and Accidents|| Transportation Noise (R41)|| Transportation: Demand|| Supply|| and Congestion|| Travel Time|| Economic Development: Human Resources|| Human Development|| Income Distribution|| Migration (O15)|| Education and Training: Welfare|| Income|| Wealth|| and Poverty (P36)|| Socialist Institutions and Their Transitions: Consumer Economics|| Socialist Systems and Transitional Economies: Urban|| Rural|| and Regional Economics (P25)|| Consumer Economics: Empirical Analysis (D12)|| Irrigation|| Agriculture and Environment (Q15)|| Land Ownership and Tenure|| Land Reform|| Land Use,"[""2201"", ""2204""]","[""Employment access and outcomes"", ""Agricultural outcomes""]",Journal article,JOUR,15635,Published,Completed,The Impact of Rural Roads and Irrigation on Household Welfare: Evidence From Vietnam,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-impact-of-rural-roads-and-irrigation-on-household-welfare--evidence-from-vietnam/15635,2017
,"Nakamura, Shohei; Bundervoet, Tom; Nuru, Mohammed","[""Rural roads | Employment access and outcomes"", ""Rural roads | Household welfare and poverty""]",,"[""Sub-Saharan Africa""]","[""Ethiopia""]",10.1080/00220388.2020.1736282,"[""Impact evaluations""]",12922,"[""2162""]","[""Rural roads""]",Journal of Development Studies,Rural Roads|| Poverty|| Household Welfare|| Resilience|| food systems and nutrition,"[""2201"", ""2361""]","[""Employment access and outcomes"", ""Household welfare and poverty""]",Journal article,JOUR,12922,Published,Completed,"Rural Roads, Poverty, And Resilience: Evidence From Ethiopia",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/rural-roads--poverty--and-resilience--evidence-from-ethiopia/12922,2020
,"Rand, John","[""Rural roads | Employment access and outcomes""]",,"[""Latin America and Caribbean""]","[""Nicaragua""]",10.1080/19439342.2010.545890,"[""Impact evaluations""]",5542,"[""2162""]","[""Rural roads""]",Journal of Development Effectiveness,Impact|| Employment|| Nicaragua,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,5542,Published,Completed,Evaluating The Employment-Generating Impact Of Rural Roads In Nicaragua,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/evaluating-the-employment-generating-impact-of-rural-roads-in-nicaragua/5542,2011
,"Nandwani, Barthi; Roychowdhury, Punarjit; Shankar, Binary","[""Rural roads | Employment access and outcomes"", ""Rural roads | Economic activity""]",,"[""South Asia""]","[""India""]",,"[""Impact evaluations""]",34490,"[""2162""]","[""Rural roads""]",Global Labor Organization (GLO),Firms|| Rural India|| PMGSY|| Rural Roads|| Employment Outcomes|| Rural Infrastructure,"[""2201"", ""2202""]","[""Employment access and outcomes"", ""Economic activity""]",Published working paper,RPRT,34490,Published,Completed,Rural Roads and Firm Outcomes in India,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/rural-roads-and-firm-outcomes-in-india/34490,2025
,"Yamauchi, Futoshi; Muto, Megumi; Chowdhury, Shyamal; Dewina, Reno; Sumaryanto, Sony","[""Rural roads | Employment access and outcomes"", ""Rural roads | Household welfare and poverty""]",,"[""East Asia and Pacific""]","[""Indonesia""]",10.1016/j.worlddev.2011.04.003,"[""Impact evaluations""]",33671,"[""2162""]","[""Rural roads""]",World Development,Income growth|| education|| landholding|| spatial connectivity|| Rural economy|| Indonesia,"[""2201"", ""2361""]","[""Employment access and outcomes"", ""Household welfare and poverty""]",Journal article,JOUR,33671,Published,Completed,Are Schooling and Roads Complementary? Evidence from Income Dynamics in Rural Indonesia,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/are-schooling-and-roads-complementary--evidence-from-income-dynamics-in-rural-indonesia/33671,2011
,"Lei, Lei; Desai, Sonalde; Vanneman, Reeve","[""Rural roads | Employment access and outcomes""]",,"[""South Asia""]","[""India""]",10.1080/13545701.2019.1655162,"[""Impact evaluations""]",33568,"[""2162""]","[""Rural roads""]",Feminist Economics,non-farm employment|| Rural India|| Women's employment|| Improved Roads,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,33568,Published,Completed,The Impact of Transportation Infrastructure on Women's Employment in India,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-impact-of-transportation-infrastructure-on-women-s-employment-in-india/33568,2019
,"Shimamura, Yasuharu; Shimizutani, Satoshi; Yamada, Eiji; Yamada, Hiroyuki","[""Rural roads | Employment access and outcomes"", ""Rural roads | Economic activity"", ""Rural roads | Agricultural outcomes"", ""Rural roads | Household welfare and poverty""]",,"[""Middle East and North Africa""]","[""Morocco""]",10.1111/rode.12989,"[""Impact evaluations""]",33468,"[""2162""]","[""Rural roads""]",REVIEW OF DEVELOPMENT ECONOMICS,Agricultural|| Family business|| Inclusive Growth|| Rural Roads|| wage employment,"[""2201"", ""2202"", ""2204"", ""2361""]","[""Employment access and outcomes"", ""Economic activity"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Journal article,JOUR,33468,Published,Completed,On the inclusiveness of rural road improvement: Evidence from Morocco,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/on-the-inclusiveness-of-rural-road-improvement--evidence-from-morocco/33468,2023
,"Marion, Pierre; Lwamba, Etienne; Floridi, Andrea; Pande, Suvarna; Bhattacharyya, Megha; Young, Sarah; Fenton Villar, Paul; Shisler, Shanon","[""Rural roads | Employment access and outcomes"", ""Rural roads | Agricultural outcomes"", ""Rural roads | Household welfare and poverty"", ""Bridges | Employment access and outcomes"", ""Bridges | Agricultural outcomes"", ""Bridges | Household welfare and poverty"", ""Multi-component roads, regional transportation and logistics | Employment access and outcomes"", ""Multi-component roads, regional transportation and logistics | Agricultural outcomes"", ""Multi-component roads, regional transportation and logistics | Household welfare and poverty""]",high,"[""East Asia and Pacific"", ""Europe and Central Asia"", ""Latin America and Caribbean"", ""South Asia"", ""Sub-Saharan Africa""]","[""Cambodia"", ""China"", ""Palau"", ""Philippines"", ""Thailand"", ""Vietnam"", ""Armenia"", ""Bosnia and Herzegovina"", ""Georgia"", ""Tajikistan"", ""Turkey"", ""Argentina"", ""Colombia"", ""Ecuador"", ""El Salvador"", ""Guatemala"", ""Nicaragua"", ""Peru"", ""Trinidad and Tobago"", ""Bangladesh"", ""Bhutan"", ""India"", ""Nepal"", ""Pakistan"", ""Benin"", ""Burkina Faso"", ""Chad"", ""Congo, Dem. Rep."", ""Uganda"", ""Ethiopia"", ""Ghana"", ""Kenya"", ""Liberia"", ""Madagascar"", ""Malawi"", ""Mozambique"", ""Niger"", ""Nigeria"", ""Rwanda"", ""Senegal"", ""Sierra Leone"", ""South Africa"", ""Tanzania"", ""Zambia"", ""Zimbabwe""]",10.1002/cl2.1411,"[""High confidence reviews""]",25371,"[""2162"", ""2166"", ""2206""]","[""Rural roads"", ""Bridges"", ""Multi-component roads, regional transportation and logistics""]",Campbell Systematic Reviews,Farm-to-market transport infrastructure|| Output market information|| Initiatives creating new marketplaces & alternative marketing opportunities|| Contract farming initiatives|| Improved storage infrastructure,"[""2201"", ""2204"", ""2361""]","[""Employment access and outcomes"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Journal article,JOUR,25371,Published,Completed,"The effects of agricultural output market access interventions on agricultural, socio-economic, food security, and nutrition outcomes in low- and middle-income countries: A systematic review",srr,https://developmentevidence.3ieimpact.org/search-result-details/systematic-review-repository/the-effects-of-agricultural-output-market-access-interventions-on-agricultural--socio-economic--food-security--and-nutrition-outcomes-in-low--and-middle-income-countries--a-systematic-review/25371,2024
,"Khandker, Shahidur R.; Koolwal, Gayatri B.","[""Rural roads | Household welfare and poverty""]",,"[""South Asia""]","[""Bangladesh""]",https://doi.org/10.1080/00220380903108330,"[""Impact evaluations""]",21459,"[""2162""]","[""Rural roads""]",Journal of Development Economics,infrastructure|| Financial Institutions|| Income Impacts|| Rural Poverty|| Economic growth|| Non-Farm Income,"[""2361""]","[""Household welfare and poverty""]",Journal article,JOUR,21459,Published,Completed,How Infrastructure and Financial Institutions Affect Rural Income and Poverty: Evidence from Bangladesh,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/how-infrastructure-and-financial-institutions-affect-rural-income-and-poverty--evidence-from-bangladesh/21459,2010
,"Solange, U.; Mulyungi, P.; Wanzala, F.; Eric, N.; Nsengiyumva, A.","[""Rural roads | Household welfare and poverty""]",,"[""Sub-Saharan Africa""]","[""Rwanda""]",No DOI,"[""Impact evaluations""]",18764,"[""2162""]","[""Rural roads""]",International Journal for Research in Applied Science and Engineering Technology,"rural feeder roads,|| benefits,|| Propensity Score Matching (PSM)|| Gakenke district Rwanda","[""2361""]","[""Household welfare and poverty""]",Journal article,JOUR,18764,Published,Completed,Effect of Rural Feeder Roads on Income Levels Among Pineapple Producers in Rwanda.,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/effect-of-rural-feeder-roads-on-income-levels-among-pineapple-producers-in-rwanda-/18764,2018
,"Gebresilasse, Mesay M.","[""Rural roads | Economic activity"", ""Rural roads | Agricultural outcomes"", ""Rural roads | Household welfare and poverty""]",,"[""Sub-Saharan Africa""]","[""Ethiopia""]",No DOI,"[""Impact evaluations""]",26474,"[""2162""]","[""Rural roads""]",Journal of Development Economics,Rural Roads|| Extension|| Productivity|| Ethiopia|| Market Access|| Agricultural Management,"[""2202"", ""2204"", ""2361""]","[""Economic activity"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Published working paper,RPRT,26474,Published,Completed,"Rural Roads, Agricultural Extension, and Productivity",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/rural-roads--agricultural-extension--and-productivity/26474,2023
,"Bucheli, José R.; Bohara, Alok K.; Villa, Kira","[""Rural roads | Household welfare and poverty""]",,"[""South Asia""]","[""Nepal""]",10.1002/jid.3327,"[""Impact evaluations""]",34377,"[""2162""]","[""Rural roads""]",JOURNAL OF INTERNATIONAL DEVELOPMENT,Schooling|| Access to healthcare|| Living Standards|| Multidimensional Poverty|| Rural Nepal|| Rural Development,"[""2361""]","[""Household welfare and poverty""]",Journal article,JOUR,34377,Published,Completed,Paths to Development? Rural Roads and Multidimensional Poverty in the Hills and Plains of Nepal,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/paths-to-development--rural-roads-and-multidimensional-poverty-in-the-hills-and-plains-of-nepal/34377,2018
